Referrer,Keyword,Visits,"Page Views per Visit
(Premium)","Bounce Rate
(Premium)","Visit Duration (seconds)
(Premium)","Conversions 1
(Premium)","Conversions 2
(Premium)","Conversions 3
(Premium)","Conversions 4
(Premium)","Conversions 5
(Premium)"
search.naver.com,???룆?뒧?32,3.5,12.50%,347.44,0,0,0,0,0,
m.ad.search.naver.com,?°?뵒?봽?¡?븘,10,1.6,30.00%,64.8,0,0,0,0,0
m.ad.search.naver.com,???옄?°?뵒?봽?¡?븘?뒧?뒠?뵒?삟?10,1.4,30.00%,76,0,0,0,0,0,
search.naver.com,???룆,10,2.5,10.00%,291.2,0,0,0,0,0
search.naver.com,???옄 ?°?뵒?봽?¡?븘 ?뒧?뒠?뵒?삟?9,0.67,33.33%,24,0,0,0,0,0,
ad.search.naver.com,?°?뵒?봽?¡?븘,8,0.75,37.50%,24.5,0,0,0,0,0
search.naver.com,?똾?꽌 ?봽?¡?븘,6,0.5,50.00%,14,0,0,0,0,0
search.naver.com,?꽌?슓??°?뵒?봽?¡?븘 ?뒧?뒠?뵒?삟?6,0.83,33.33%,53.67,0,0,0,0,0,
m.search.naver.com,???룆?뒧?5,0.8,0.00%,43,0,0,0,0,0,
ad.search.naver.com,?꽌?슓?°?뵒?봽?¡?븘,4,0.5,50.00%,57,0,0,0,0,0
ad.search.naver.com,???²??´??쁺,4,3.5,0.00%,118,0,0,0,0,0
blog.naver.com,?°?궊??°?뵒?봽?%,4,1,25.00%,47,0,0,0,0,0
m.ad.search.naver.com,?°?뵒?봽?¡?븘?뒧?뒠?뵒?삟?4,2.25,25.00%,48.5,0,0,0,0,0,
m.ad.search.naver.com,?°??¤?²??°?¡±???§?4,1.5,25.00%,131.5,0,0,0,0,0,
search.naver.com,?솉?? ?°?뵒?봽?¡?븘,4,1.5,25.00%,47.5,0,0,0,0,0
search.naver.com,?슓?룞 ?쁺?긽 ?뒧?뒠?뵒?삟?4,2.75,25.00%,42.5,0,0,0,0,0,
ad.search.naver.com,?궊?옄?°?뵒?봽?¡?븘,3,0.33,33.33%,42,0,0,0,0,0
ad.search.naver.com,?눊?븨?ª°?뒧?뒠?뵒?삟?3,0.33,33.33%,8,0,0,0,0,0,
ad.search.naver.com,CEO ?´??쁺,2,1,0.00%,26,0,0,0,0,0
ad.search.naver.com,?늻?뱶???§?2,1,0.00%,49,0,0,0,0,0,
ad.search.naver.com,????¶?2,0.5,50.00%,2,0,0,0,0,0,
ad.search.naver.com,????¶?뒧?뒠?뵒?삟?2,1.5,0.00%,34,0,0,0,0,0,
ad.search.naver.com,?°?뵒?봽?¡?븘?뒧?뒠?뵒?삟?2,0.5,50.00%,2,0,0,0,0,0,
ad.search.naver.com,?°?뵒?봽?¡?븘?´??쁺,2,1,0.00%,36,0,0,0,0,0
ad.search.naver.com,?°??¤?룞??¼???§?´,2,1,0.00%,37,0,0,0,0,0
ad.search.naver.com,?°??¤?룞??¼?뒧?뒠?뵒?삟?2,1,0.00%,32,0,0,0,0,0,
ad.search.naver.com,?²°?삩?뒧?깄???§?2,0.5,50.00%,146,0,0,0,0,0,
ad.search.naver.com,?¶?떓???뭹?´??쁺 ?뒧?뒠?뵒?삟?2,1,0.00%,12,0,0,0,0,0,
