,Referrer,Keyword,Visits,"Page Views per Visit
(Premium)","Bounce Rate
(Premium)","Visit Duration (seconds)
(Premium)","Conversions 1
(Premium)","Conversions 2
(Premium)","Conversions 3
(Premium)","Conversions 4
(Premium)","Conversions 5
(Premium)"
0,search.naver.com,???룆?뒧?32,3.5,12.50%,347.44,0,0.0,0.0,0.0,0.0,
1,m.ad.search.naver.com,?°?뵒?봽?¡?븘,10.0,1.6,30.00%,64.8,0.0,0.0,0.0,0.0,0.0
2,m.ad.search.naver.com,???옄?°?뵒?봽?¡?븘?뒧?뒠?뵒?삟?10,1.4,30.00%,76,0,0.0,0.0,0.0,0.0,
3,search.naver.com,???룆,10.0,2.5,10.00%,291.2,0.0,0.0,0.0,0.0,0.0
4,search.naver.com,???옄 ?°?뵒?봽?¡?븘 ?뒧?뒠?뵒?삟?9,0.67,33.33%,24,0,0.0,0.0,0.0,0.0,
5,ad.search.naver.com,?°?뵒?봽?¡?븘,8.0,0.75,37.50%,24.5,0.0,0.0,0.0,0.0,0.0
6,search.naver.com,?똾?꽌 ?봽?¡?븘,6.0,0.5,50.00%,14,0.0,0.0,0.0,0.0,0.0
7,search.naver.com,?꽌?슓??°?뵒?봽?¡?븘 ?뒧?뒠?뵒?삟?6,0.83,33.33%,53.67,0,0.0,0.0,0.0,0.0,
8,m.search.naver.com,???룆?뒧?5,0.8,0.00%,43,0,0.0,0.0,0.0,0.0,
9,ad.search.naver.com,?꽌?슓?°?뵒?봽?¡?븘,4.0,0.5,50.00%,57,0.0,0.0,0.0,0.0,0.0
10,ad.search.naver.com,???²??´??쁺,4.0,3.5,0.00%,118,0.0,0.0,0.0,0.0,0.0
11,blog.naver.com,?°?궊??°?뵒?봽?%,4.0,1,25.00%,47,0.0,0.0,0.0,0.0,0.0
12,m.ad.search.naver.com,?°?뵒?봽?¡?븘?뒧?뒠?뵒?삟?4,2.25,25.00%,48.5,0,0.0,0.0,0.0,0.0,
13,m.ad.search.naver.com,?°??¤?²??°?¡±???§?4,1.5,25.00%,131.5,0,0.0,0.0,0.0,0.0,
14,search.naver.com,?솉?? ?°?뵒?봽?¡?븘,4.0,1.5,25.00%,47.5,0.0,0.0,0.0,0.0,0.0
15,search.naver.com,?슓?룞 ?쁺?긽 ?뒧?뒠?뵒?삟?4,2.75,25.00%,42.5,0,0.0,0.0,0.0,0.0,
16,ad.search.naver.com,?궊?옄?°?뵒?봽?¡?븘,3.0,0.33,33.33%,42,0.0,0.0,0.0,0.0,0.0
17,ad.search.naver.com,?눊?븨?ª°?뒧?뒠?뵒?삟?3,0.33,33.33%,8,0,0.0,0.0,0.0,0.0,
18,ad.search.naver.com,CEO ?´??쁺,2.0,1,0.00%,26,0.0,0.0,0.0,0.0,0.0
19,ad.search.naver.com,?늻?뱶???§?2,1.0,0.00%,49,0,0.0,0.0,0.0,0.0,
20,ad.search.naver.com,????¶?2,0.5,50.00%,2,0,0.0,0.0,0.0,0.0,
21,ad.search.naver.com,????¶?뒧?뒠?뵒?삟?2,1.5,0.00%,34,0,0.0,0.0,0.0,0.0,
22,ad.search.naver.com,?°?뵒?봽?¡?븘?뒧?뒠?뵒?삟?2,0.5,50.00%,2,0,0.0,0.0,0.0,0.0,
23,ad.search.naver.com,?°?뵒?봽?¡?븘?´??쁺,2.0,1,0.00%,36,0.0,0.0,0.0,0.0,0.0
24,ad.search.naver.com,?°??¤?룞??¼???§?´,2.0,1,0.00%,37,0.0,0.0,0.0,0.0,0.0
25,ad.search.naver.com,?°??¤?룞??¼?뒧?뒠?뵒?삟?2,1.0,0.00%,32,0,0.0,0.0,0.0,0.0,
26,ad.search.naver.com,?²°?삩?뒧?깄???§?2,0.5,50.00%,146,0,0.0,0.0,0.0,0.0,
27,ad.search.naver.com,?¶?떓???뭹?´??쁺 ?뒧?뒠?뵒?삟?2,1.0,0.00%,12,0,0.0,0.0,0.0,0.0,
28,ad.search.naver.com,?궋???뒧?뒠?뵒?삟?2,0.5,50.00%,2,0,0.0,0.0,0.0,0.0,
29,ad.search.naver.com,?렂?뀡???§?2,0.5,50.00%,5,0,0.0,0.0,0.0,0.0,
30,ad.search.naver.com,?몾?뱶???§?2,1.5,0.00%,34,0,0.0,0.0,0.0,0.0,
31,ad.search.naver.com,?몾?뱶???§?´??쁺,2.0,0.5,50.00%,5,0.0,0.0,0.0,0.0,0.0
32,ad.search.naver.com,?봽?¡?븘???§?2,3.5,0.00%,86,0,0.0,0.0,0.0,0.0,
33,ad.search.naver.com,???²??뒧?뒠?뵒?삟?2,2.0,0.00%,138,0,0.0,0.0,0.0,0.0,
34,ad.search.naver.com,???셿?룞??¼???씊?뒧?2,1.0,0.00%,13,0,0.0,0.0,0.0,0.0,
35,ad.search.naver.com,???셿???뭹???2,4.5,0.00%,547,0,0.0,0.0,0.0,0.0,
36,ad.search.naver.com,???꽒?°?뵒?봽?¡?븘?뒧?뒠?뵒?삟?2,4.0,0.00%,289,0,0.0,0.0,0.0,0.0,
37,ad.search.naver.com,???옄?봽?¡?븘???§?2,1.5,0.00%,53,0,0.0,0.0,0.0,0.0,
38,ad.search.naver.com,?뿠?삁?씊??솕?³´ ?뒧?뒠?뵒?삟?2,2.5,0.00%,105,0,0.0,0.0,0.0,0.0,
39,ad.search.naver.com,?뿠?삁?씊?솕?³´?´??쁺,2.0,5.5,0.00%,205,0.0,0.0,0.0,0.0,0.0
40,ad.search.naver.com,?삟?뵒?뀡?봽?¡?븘???§?2,1.5,0.00%,28,0,0.0,0.0,0.0,0.0,
41,ad.search.naver.com,???븘?뒧?뒠?뵒?삟?2,1.5,0.00%,21,0,0.0,0.0,0.0,0.0,
42,ad.search.naver.com,?씊?뀒????뼟???§?´??쁺,2.0,1.5,0.00%,54,0.0,0.0,0.0,0.0,0.0
43,ad.search.naver.com,????¸?§?봽?¡?븘,2.0,0.5,50.00%,9,0.0,0.0,0.0,0.0,0.0
44,ad.search.naver.com,??¼?땲?뼟?뒧?뒠?뵒?삟?2,0.5,50.00%,13,0,0.0,0.0,0.0,0.0,
45,ad.search.naver.com,?¶?????§?2,0.5,50.00%,19,0,0.0,0.0,0.0,0.0,
46,ad.search.naver.com,??¤?뵆?뒧?깄???§?2,0.5,50.00%,6,0,0.0,0.0,0.0,0.0,
47,blog.naver.com,?궊?옄 ?°?뵒?봽?¡?,2.0,0.5,50.00%,33,0.0,0.0,0.0,0.0,0.0
48,blog.naver.com,????¶??´??쁺 ?뒧??9,2.0,8.5,0.00%,485,0.0,0.0,0.0,0.0,0.0
49,blog.naver.com,???룆?뒧??뒧?뒠?뵒%E,2.0,2,0.00%,43,0.0,0.0,0.0,0.0,0.0
50,blog.naver.com,???옄 ?°?뵒?봽?¡?븘 ?뒧??2,1.0,0.00%,42,0,0.0,0.0,0.0,0.0,
51,blog.naver.com,?솉?? ?°?뵒?봽?¡?븘 %E,2.0,1.5,0.00%,31,0.0,0.0,0.0,0.0,0.0
52,blog.naver.com,?쉶?? ?봽?¡?븘 ?´??%9,2.0,0.5,50.00%,2,0.0,0.0,0.0,0.0,0.0
53,m.ad.search.naver.com,?°?뵒?봽?¡?븘?°?²?,2.0,1,0.00%,6,0.0,0.0,0.0,0.0,0.0
54,m.ad.search.naver.com,?°?븘?§???§?´,2.0,0.5,50.00%,26,0.0,0.0,0.0,0.0,0.0
55,m.ad.search.naver.com,?°??¤?룞??¼???§?´,2.0,2,0.00%,55,0.0,0.0,0.0,0.0,0.0
56,m.ad.search.naver.com,?°??¤?룞??¼?뒧?뒠?뵒?삟?2,0.5,50.00%,29,0,0.0,0.0,0.0,0.0,
57,m.ad.search.naver.com,?°??¤?²????§?2,1.0,0.00%,38,0,0.0,0.0,0.0,0.0,
58,m.ad.search.naver.com,?°???봽?¡?븘,2.0,0.5,50.00%,9,0.0,0.0,0.0,0.0,0.0
59,m.ad.search.naver.com,?°°?슒?봽?¡?븘,2.0,4,0.00%,48,0.0,0.0,0.0,0.0,0.0
60,m.ad.search.naver.com,?°°?슒?봽?¡?븘???§?2,1.0,0.00%,60,0,0.0,0.0,0.0,0.0,
61,m.ad.search.naver.com,???§?°°?슒?¸°,2.0,2,0.00%,300,0.0,0.0,0.0,0.0,0.0
62,m.ad.search.naver.com,???§?³´???2,0.5,50.00%,86,0,0.0,0.0,0.0,0.0,
63,m.ad.search.naver.com,???§???쑂?2,5.5,0.00%,424,0,0.0,0.0,0.0,0.0,
64,m.ad.search.naver.com,?꽌?슓?°?뵒?봽?¡?븘,2.0,0.5,50.00%,52,0.0,0.0,0.0,0.0,0.0
65,m.ad.search.naver.com,???²????§?´,2.0,0.5,50.00%,8,0.0,0.0,0.0,0.0,0.0
66,m.ad.search.naver.com,?뼟??°?씊?봽?¡?븘,2.0,0.5,50.00%,32,0.0,0.0,0.0,0.0,0.0
67,m.ad.search.naver.com,?뿠??¼?옄?봽?¡?븘???§?2,0.5,50.00%,6,0,0.0,0.0,0.0,0.0,
68,m.ad.search.naver.com,???븘???§?2,0.5,50.00%,98,0,0.0,0.0,0.0,0.0,
69,m.ad.search.naver.com,???븘???§?´,2.0,0.5,50.00%,14,0.0,0.0,0.0,0.0,0.0
70,m.ad.search.naver.com,?씊?뀒????뼟???§?´??쁺,2.0,0.5,50.00%,51,0.0,0.0,0.0,0.0,0.0
71,m.ad.search.naver.com,?씒?°?씊?솕?³´,2.0,1.5,0.00%,59,0.0,0.0,0.0,0.0,0.0
72,m.ad.search.naver.com,??¼?땲?뼟?뒧?뒠?뵒?삟?2,0.5,50.00%,0,0,0.0,0.0,0.0,0.0,
73,m.ad.search.naver.com,??¼?땲?뼟?봽?¡?븘,2.0,0.5,50.00%,5,0.0,0.0,0.0,0.0,0.0
74,m.ad.search.naver.com,?´??쁺?븰?썝,2.0,0.5,50.00%,73,0.0,0.0,0.0,0.0,0.0
75,m.blog.naver.com,?°????,2.0,1,0.00%,16,0.0,0.0,0.0,0.0,0.0
76,m.blog.naver.com,???룆?뒧?2,0.5,50.00%,33,0,0.0,0.0,0.0,0.0,
77,m.blog.naver.com,???옄 ?°?뵒?봽?¡?븘,2.0,0.5,50.00%,99,0.0,0.0,0.0,0.0,0.0
